nodelist=n23m[0400-0407]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 343
# Total number of elements: 2744000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  343
   Iteration count     =  5008
   Final Origin Energy =  3.284469e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 7.858034e-10
        TotalAbsDiff = 2.023080e-08
        MaxRelDiff   = 3.134440e-14

Elapsed time         =      1e+02 (s)
Grind time (us/z/c)  =   2.490486 (per dom)  ( 99.778831 overall)
FOM                  =  137724.12 (z/s)

[MEMUSAGE] Rank 106:	 156.641 MiB
[MEMUSAGE] Rank 107:	 156.852 MiB
[MEMUSAGE] Rank 108:	 156.852 MiB
[MEMUSAGE] Rank 109:	 156.812 MiB
[MEMUSAGE] Rank 110:	 156.887 MiB
[MEMUSAGE] Rank 111:	 156.383 MiB
[MEMUSAGE] Rank 112:	 156.711 MiB
[MEMUSAGE] Rank 113:	 156.621 MiB
[MEMUSAGE] Rank 114:	 156.570 MiB
[MEMUSAGE] Rank 115:	 156.613 MiB
[MEMUSAGE] Rank 116:	 156.625 MiB
[MEMUSAGE] Rank 117:	 156.547 MiB
[MEMUSAGE] Rank 118:	 156.594 MiB
[MEMUSAGE] Rank 119:	 158.445 MiB
[MEMUSAGE] Rank 120:	 156.773 MiB
[MEMUSAGE] Rank 121:	 156.609 MiB
[MEMUSAGE] Rank 122:	 156.633 MiB
[MEMUSAGE] Rank 123:	 156.520 MiB
[MEMUSAGE] Rank 124:	 156.648 MiB
[MEMUSAGE] Rank 125:	 156.398 MiB
[MEMUSAGE] Rank 126:	 156.637 MiB
[MEMUSAGE] Rank 127:	 156.777 MiB
[MEMUSAGE] Rank 128:	 156.723 MiB
[MEMUSAGE] Rank 129:	 156.699 MiB
[MEMUSAGE] Rank 130:	 156.512 MiB
[MEMUSAGE] Rank 131:	 156.789 MiB
[MEMUSAGE] Rank 132:	 156.441 MiB
[MEMUSAGE] Rank 133:	 158.562 MiB
[MEMUSAGE] Rank 134:	 156.801 MiB
[MEMUSAGE] Rank 135:	 156.660 MiB
[MEMUSAGE] Rank 136:	 158.871 MiB
[MEMUSAGE] Rank 137:	 156.688 MiB
[MEMUSAGE] Rank 138:	 156.840 MiB
[MEMUSAGE] Rank 139:	 156.418 MiB
[MEMUSAGE] Rank 140:	 156.629 MiB
[MEMUSAGE] Rank 141:	 156.664 MiB
