nodelist=r23m[0137-0141]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 216
# Total number of elements: 1728000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  216
   Iteration count     =  4264
   Final Origin Energy =  2.489232e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 2.270099e-09
        TotalAbsDiff = 1.747094e-08
        MaxRelDiff   = 4.423149e-14

Elapsed time         =         85 (s)
Grind time (us/z/c)  =  2.4828508 (per dom)  ( 84.695006 overall)
FOM                  =   86996.77 (z/s)

[MEMUSAGE] Rank 106:	 157.242 MiB
[MEMUSAGE] Rank 107:	 155.035 MiB
[MEMUSAGE] Rank 108:	 155.109 MiB
[MEMUSAGE] Rank 109:	 154.922 MiB
[MEMUSAGE] Rank 110:	 155.164 MiB
[MEMUSAGE] Rank 111:	 155.074 MiB
[MEMUSAGE] Rank 112:	 155.078 MiB
[MEMUSAGE] Rank 113:	 154.922 MiB
[MEMUSAGE] Rank 114:	 155.051 MiB
[MEMUSAGE] Rank 115:	 156.930 MiB
[MEMUSAGE] Rank 116:	 155.254 MiB
[MEMUSAGE] Rank 117:	 154.980 MiB
[MEMUSAGE] Rank 118:	 155.223 MiB
[MEMUSAGE] Rank 119:	 155.145 MiB
[MEMUSAGE] Rank 120:	 155.051 MiB
[MEMUSAGE] Rank 121:	 155.074 MiB
[MEMUSAGE] Rank 122:	 155.461 MiB
[MEMUSAGE] Rank 123:	 153.289 MiB
[MEMUSAGE] Rank 124:	 155.258 MiB
[MEMUSAGE] Rank 125:	 154.949 MiB
[MEMUSAGE] Rank 126:	 155.039 MiB
[MEMUSAGE] Rank 127:	 155.066 MiB
[MEMUSAGE] Rank 128:	 155.113 MiB
[MEMUSAGE] Rank 129:	 155.172 MiB
[MEMUSAGE] Rank 130:	 155.414 MiB
[MEMUSAGE] Rank 131:	 155.090 MiB
[MEMUSAGE] Rank 132:	 155.309 MiB
[MEMUSAGE] Rank 133:	 155.406 MiB
[MEMUSAGE] Rank 134:	 155.340 MiB
[MEMUSAGE] Rank 135:	 155.438 MiB
[MEMUSAGE] Rank 136:	 155.453 MiB
[MEMUSAGE] Rank 137:	 155.316 MiB
[MEMUSAGE] Rank 138:	 155.438 MiB
[MEMUSAGE] Rank 139:	 155.316 MiB
[MEMUSAGE] Rank 140:	 155.250 MiB
[MEMUSAGE] Rank 141:	 155.082 MiB
[MEMUSAGE] Rank 142:	 157.188 MiB
[MEMUSAGE] Rank 143:	 155.230 MiB
[MEMUSAGE] Rank 144:	 155.109 MiB
[MEMUSAGE] Rank 145:	 155.199 MiB
[MEMUSAGE] Rank 146:	 155.188 MiB
[MEMUSAGE] Rank 147:	 155.508 MiB
[MEMUSAGE] Rank 148:	 155.426 MiB
[MEMUSAGE] Rank 149:	 155.371 MiB
[MEMUSAGE] Rank 150:	 153.473 MiB
[MEMUSAGE] Rank 151:	 155.000 MiB
[MEMUSAGE] Rank 152:	 155.277 MiB
[MEMUSAGE] Rank 153:	 155.254 MiB
[MEMUSAGE] Rank 154:	 157.027 MiB
[MEMUSAGE] Rank 155:	 155.250 MiB
[MEMUSAGE] Rank 156:	 155.230 MiB
[MEMUSAGE] Rank 157:	 155.012 MiB
[MEMUSAGE] Rank 158:	 155.289 MiB
[MEMUSAGE] Rank 159:	 155.055 MiB
[MEMUSAGE] Rank 160:	 155.113 MiB
[MEMUSAGE] Rank 161:	 155.008 MiB
[MEMUSAGE] Rank 162:	 155.094 MiB
[MEMUSAGE] Rank 163:	 155.172 MiB
[MEMUSAGE] Rank 164:	 155.375 MiB
[MEMUSAGE] Rank 165:	 157.211 MiB
[MEMUSAGE] Rank 166:	 155.133 MiB
[MEMUSAGE] Rank 167:	 156.852 MiB
[MEMUSAGE] Rank 168:	 155.305 MiB
[MEMUSAGE] Rank 169:	 155.199 MiB
[MEMUSAGE] Rank 170:	 155.352 MiB
[MEMUSAGE] Rank 171:	 155.148 MiB
[MEMUSAGE] Rank 172:	 155.117 MiB
[MEMUSAGE] Rank 173:	 154.969 MiB
