nodelist=n23m[0340,0342,0351-0356]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 384
Grid size              = 135765
Radius of stencil      = 1
Tiles in x/y-direction = 16/24
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 400
Solution validates
Rate (MFlops/s): 826463.227100  Avg time (s): 0.245319  Total time (s): 98.127785
[MEMUSAGE] Total Memory Consumption (max_rss): 335422.781 MiB
[MEMUSAGE] Rank 114:	 875.500 MiB
[MEMUSAGE] Rank 115:	 873.551 MiB
[MEMUSAGE] Rank 116:	 875.293 MiB
[MEMUSAGE] Rank 117:	 873.297 MiB
[MEMUSAGE] Rank 118:	 873.387 MiB
[MEMUSAGE] Rank 119:	 877.141 MiB
[MEMUSAGE] Rank 120:	 873.199 MiB
[MEMUSAGE] Rank 121:	 873.195 MiB
[MEMUSAGE] Rank 122:	 873.266 MiB
[MEMUSAGE] Rank 123:	 873.516 MiB
[MEMUSAGE] Rank 124:	 873.145 MiB
[MEMUSAGE] Rank 125:	 873.367 MiB
[MEMUSAGE] Rank 126:	 875.469 MiB
[MEMUSAGE] Rank 127:	 871.312 MiB
[MEMUSAGE] Rank 128:	 873.297 MiB
[MEMUSAGE] Rank 129:	 873.160 MiB
[MEMUSAGE] Rank 130:	 873.309 MiB
[MEMUSAGE] Rank 131:	 875.449 MiB
[MEMUSAGE] Rank 132:	 873.422 MiB
[MEMUSAGE] Rank 133:	 873.133 MiB
[MEMUSAGE] Rank 134:	 875.562 MiB
[MEMUSAGE] Rank 135:	 873.121 MiB
[MEMUSAGE] Rank 136:	 873.301 MiB
[MEMUSAGE] Rank 137:	 873.270 MiB
[MEMUSAGE] Rank 138:	 875.266 MiB
[MEMUSAGE] Rank 139:	 873.230 MiB
[MEMUSAGE] Rank 140:	 873.141 MiB
[MEMUSAGE] Rank 141:	 873.230 MiB
[MEMUSAGE] Rank 142:	 873.137 MiB
[MEMUSAGE] Rank 143:	 873.121 MiB
[MEMUSAGE] Rank 144:	 873.355 MiB
[MEMUSAGE] Rank 145:	 873.316 MiB
[MEMUSAGE] Rank 146:	 873.637 MiB
[MEMUSAGE] Rank 147:	 873.344 MiB
[MEMUSAGE] Rank 148:	 873.324 MiB
[MEMUSAGE] Rank 149:	 873.336 MiB
[MEMUSAGE] Rank 150:	 873.527 MiB
[MEMUSAGE] Rank 151:	 873.551 MiB
[MEMUSAGE] Rank 152:	 873.309 MiB
[MEMUSAGE] Rank 153:	 874.949 MiB
[MEMUSAGE] Rank 154:	 873.254 MiB
[MEMUSAGE] Rank 155:	 873.242 MiB
[MEMUSAGE] Rank 156:	 873.293 MiB
[MEMUSAGE] Rank 157:	 873.328 MiB
[MEMUSAGE] Rank 158:	 873.227 MiB
[MEMUSAGE] Rank 159:	 871.316 MiB
[MEMUSAGE] Rank 160:	 873.535 MiB
[MEMUSAGE] Rank 161:	 873.336 MiB
[MEMUSAGE] Rank 162:	 875.355 MiB
[MEMUSAGE] Rank 163:	 873.387 MiB
[MEMUSAGE] Rank 164:	 873.441 MiB
[MEMUSAGE] Rank 165:	 873.461 MiB
[MEMUSAGE] Rank 166:	 873.496 MiB
[MEMUSAGE] Rank 167:	 873.266 MiB
[MEMUSAGE] Rank 168:	 873.555 MiB
[MEMUSAGE] Rank 169:	 873.125 MiB
[MEMUSAGE] Rank 170:	 873.438 MiB
[MEMUSAGE] Rank 171:	 871.367 MiB
[MEMUSAGE] Rank 172:	 873.383 MiB
[MEMUSAGE] Rank 173:	 873.402 MiB
[MEMUSAGE] Rank 174:	 873.715 MiB
[MEMUSAGE] Rank 175:	 873.320 MiB
[MEMUSAGE] Rank 176:	 873.406 MiB
[MEMUSAGE] Rank 177:	 873.211 MiB
[MEMUSAGE] Rank 178:	 873.516 MiB
[MEMUSAGE] Rank 179:	 873.227 MiB
[MEMUSAGE] Rank 180:	 873.332 MiB
[MEMUSAGE] Rank 181:	 873.328 MiB
[MEMUSAGE] Rank 182:	 873.281 MiB
[MEMUSAGE] Rank 183:	 873.352 MiB
[MEMUSAGE] Rank 184:	 873.273 MiB
[MEMUSAGE] Rank 185:	 873.148 MiB
[MEMUSAGE] Rank 186:	 873.223 MiB
[MEMUSAGE] Rank 187:	 873.207 MiB
[MEMUSAGE] Rank 188:	 871.309 MiB
[MEMUSAGE] Rank 189:	 873.266 MiB
[MEMUSAGE] Rank 190:	 873.211 MiB
[MEMUSAGE] Rank 191:	 873.031 MiB
[MEMUSAGE] Rank 192:	 873.504 MiB
[MEMUSAGE] Rank 193:	 873.254 MiB
[MEMUSAGE] Rank 194:	 873.660 MiB
[MEMUSAGE] Rank 195:	 873.414 MiB
[MEMUSAGE] Rank 196:	 873.637 MiB
[MEMUSAGE] Rank 197:	 873.328 MiB
[MEMUSAGE] Rank 198:	 873.184 MiB
[MEMUSAGE] Rank 199:	 873.449 MiB
[MEMUSAGE] Rank 200:	 875.406 MiB
[MEMUSAGE] Rank 201:	 873.457 MiB
[MEMUSAGE] Rank 202:	 873.504 MiB
[MEMUSAGE] Rank 203:	 873.301 MiB
[MEMUSAGE] Rank 204:	 873.344 MiB
[MEMUSAGE] Rank 205:	 873.379 MiB
[MEMUSAGE] Rank 206:	 873.492 MiB
[MEMUSAGE] Rank 207:	 873.590 MiB
[MEMUSAGE] Rank 208:	 873.438 MiB
[MEMUSAGE] Rank 209:	 873.387 MiB
[MEMUSAGE] Rank 210:	 873.598 MiB
[MEMUSAGE] Rank 211:	 875.570 MiB
[MEMUSAGE] Rank 212:	 873.410 MiB
[MEMUSAGE] Rank 213:	 873.555 MiB
