bench_id;wp_id;compile;measurement;tasks;num_iters;grid_size;time_avg;time_std;rate (MFlops/s);memory total (MiB);verification
0;5;base;base;48;1000;48000;204.59733219999998;0.11159460948853853;123862.2899134;38756.93;SUCCESS
0;35;tsan-opt;must;48;1000;48000;216.54174859999998;0.5157079219067687;117030.56453619999;43210.965;SUCCESS
0;10;base;base;96;1000;67883;205.23432133333336;0.05937932515694146;246967.14595233332;83530.961;SUCCESS
0;40;tsan-opt;must;96;1000;67883;221.67095600000002;0.3670189865248032;228655.317221;93482.578;SUCCESS
0;15;base;base;192;1000;96000;244.63694700000002;0.22692143049329674;414376.6792472;167284.543;SUCCESS
0;45;tsan-opt;must;192;1000;96000;271.4073053999999;0.7281120196462642;373506.3774604;190225.434;SUCCESS
0;20;base;base;384;1000;135765;244.77981760000003;0.13271686782760073;828285.4502148001;335401.023;SUCCESS
0;50;tsan-opt;must;384;1000;135765;286.20063280000005;0.8525117094692298;708415.4568496;393191.848;SUCCESS
0;28;base;base;768;1000;192000;246.99812819999997;3.765352417218411;1641994.0079080001;674365.66;SUCCESS
0;59;tsan-opt;must;768;1000;192000;302.743534;1.6067312462923367;1339432.9103481998;836644.746;SUCCESS
