nodelist=n23m[0327-0337]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 512
# Total number of elements: 4096000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  512
   Iteration count     =  5753
   Final Origin Energy =  4.177699e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 2.852175e-09
        TotalAbsDiff = 3.305195e-08
        MaxRelDiff   = 3.787692e-14

Elapsed time         =    1.2e+02 (s)
Grind time (us/z/c)  =  2.6405344 (per dom)  ( 121.52796 overall)
FOM                  =  193900.14 (z/s)

[MEMUSAGE] Rank 106:	 158.617 MiB
[MEMUSAGE] Rank 107:	 158.801 MiB
[MEMUSAGE] Rank 108:	 158.770 MiB
[MEMUSAGE] Rank 109:	 158.785 MiB
[MEMUSAGE] Rank 110:	 158.957 MiB
[MEMUSAGE] Rank 111:	 158.816 MiB
[MEMUSAGE] Rank 112:	 160.816 MiB
[MEMUSAGE] Rank 113:	 158.930 MiB
[MEMUSAGE] Rank 114:	 158.949 MiB
[MEMUSAGE] Rank 115:	 158.945 MiB
[MEMUSAGE] Rank 116:	 159.219 MiB
[MEMUSAGE] Rank 117:	 158.863 MiB
[MEMUSAGE] Rank 118:	 160.879 MiB
[MEMUSAGE] Rank 119:	 158.785 MiB
[MEMUSAGE] Rank 120:	 158.781 MiB
[MEMUSAGE] Rank 121:	 158.672 MiB
[MEMUSAGE] Rank 122:	 158.625 MiB
[MEMUSAGE] Rank 123:	 158.766 MiB
[MEMUSAGE] Rank 124:	 158.848 MiB
[MEMUSAGE] Rank 125:	 158.711 MiB
[MEMUSAGE] Rank 126:	 158.691 MiB
[MEMUSAGE] Rank 127:	 160.680 MiB
[MEMUSAGE] Rank 128:	 156.715 MiB
[MEMUSAGE] Rank 129:	 158.500 MiB
[MEMUSAGE] Rank 130:	 158.617 MiB
[MEMUSAGE] Rank 131:	 158.922 MiB
[MEMUSAGE] Rank 132:	 158.633 MiB
[MEMUSAGE] Rank 133:	 158.660 MiB
[MEMUSAGE] Rank 134:	 158.590 MiB
[MEMUSAGE] Rank 135:	 158.641 MiB
[MEMUSAGE] Rank 136:	 158.746 MiB
[MEMUSAGE] Rank 137:	 158.598 MiB
[MEMUSAGE] Rank 138:	 158.898 MiB
[MEMUSAGE] Rank 139:	 158.672 MiB
[MEMUSAGE] Rank 140:	 158.625 MiB
[MEMUSAGE] Rank 141:	 158.703 MiB
[MEMUSAGE] Rank 142:	 158.859 MiB
[MEMUSAGE] Rank 143:	 158.660 MiB
[MEMUSAGE] Rank 144:	 158.535 MiB
[MEMUSAGE] Rank 145:	 160.930 MiB
[MEMUSAGE] Rank 146:	 156.719 MiB
[MEMUSAGE] Rank 147:	 158.676 MiB
[MEMUSAGE] Rank 148:	 159.000 MiB
[MEMUSAGE] Rank 149:	 158.801 MiB
[MEMUSAGE] Rank 150:	 158.809 MiB
[MEMUSAGE] Rank 151:	 160.602 MiB
[MEMUSAGE] Rank 152:	 158.855 MiB
[MEMUSAGE] Rank 153:	 158.652 MiB
[MEMUSAGE] Rank 154:	 158.727 MiB
[MEMUSAGE] Rank 155:	 158.855 MiB
[MEMUSAGE] Rank 156:	 159.004 MiB
[MEMUSAGE] Rank 157:	 159.020 MiB
[MEMUSAGE] Rank 158:	 158.766 MiB
[MEMUSAGE] Rank 159:	 158.590 MiB
[MEMUSAGE] Rank 160:	 158.805 MiB
[MEMUSAGE] Rank 161:	 160.812 MiB
[MEMUSAGE] Rank 162:	 158.777 MiB
[MEMUSAGE] Rank 163:	 158.715 MiB
[MEMUSAGE] Rank 164:	 159.141 MiB
[MEMUSAGE] Rank 165:	 160.836 MiB
[MEMUSAGE] Rank 166:	 159.066 MiB
[MEMUSAGE] Rank 167:	 158.852 MiB
[MEMUSAGE] Rank 168:	 158.805 MiB
[MEMUSAGE] Rank 169:	 158.934 MiB
[MEMUSAGE] Rank 170:	 158.723 MiB
[MEMUSAGE] Rank 171:	 158.926 MiB
[MEMUSAGE] Rank 172:	 160.707 MiB
[MEMUSAGE] Rank 173:	 158.578 MiB
[MEMUSAGE] Rank 174:	 160.719 MiB
[MEMUSAGE] Rank 175:	 158.750 MiB
[MEMUSAGE] Rank 176:	 158.742 MiB
[MEMUSAGE] Rank 177:	 158.996 MiB
[MEMUSAGE] Rank 178:	 161.027 MiB
[MEMUSAGE] Rank 179:	 158.977 MiB
[MEMUSAGE] Rank 180:	 158.926 MiB
[MEMUSAGE] Rank 181:	 156.836 MiB
[MEMUSAGE] Rank 182:	 158.863 MiB
[MEMUSAGE] Rank 183:	 158.707 MiB
[MEMUSAGE] Rank 184:	 158.770 MiB
[MEMUSAGE] Rank 185:	 158.660 MiB
[MEMUSAGE] Rank 186:	 158.742 MiB
[MEMUSAGE] Rank 187:	 158.645 MiB
[MEMUSAGE] Rank 188:	 158.547 MiB
[MEMUSAGE] Rank 189:	 158.461 MiB
[MEMUSAGE] Rank 190:	 158.555 MiB
[MEMUSAGE] Rank 191:	 158.469 MiB
[MEMUSAGE] Rank 192:	 158.891 MiB
[MEMUSAGE] Rank 193:	 158.914 MiB
[MEMUSAGE] Rank 194:	 158.801 MiB
[MEMUSAGE] Rank 195:	 160.688 MiB
[MEMUSAGE] Rank 196:	 158.809 MiB
[MEMUSAGE] Rank 197:	 158.770 MiB
[MEMUSAGE] Rank 198:	 160.766 MiB
[MEMUSAGE] Rank 199:	 158.711 MiB
[MEMUSAGE] Rank 200:	 156.715 MiB
[MEMUSAGE] Rank 201:	 156.961 MiB
[MEMUSAGE] Rank 202:	 158.910 MiB
[MEMUSAGE] Rank 203:	 160.957 MiB
[MEMUSAGE] Rank 204:	 158.957 MiB
[MEMUSAGE] Rank 205:	 158.820 MiB
[MEMUSAGE] Rank 206:	 158.871 MiB
[MEMUSAGE] Rank 207:	 158.789 MiB
[MEMUSAGE] Rank 208:	 158.754 MiB
[MEMUSAGE] Rank 209:	 158.855 MiB
[MEMUSAGE] Rank 210:	 160.918 MiB
[MEMUSAGE] Rank 211:	 160.777 MiB
[MEMUSAGE] Rank 212:	 159.035 MiB
[MEMUSAGE] Rank 213:	 158.926 MiB
[MEMUSAGE] Rank 214:	 160.875 MiB
[MEMUSAGE] Rank 215:	 160.727 MiB
[MEMUSAGE] Rank 216:	 159.125 MiB
[MEMUSAGE] Rank 217:	 158.859 MiB
[MEMUSAGE] Rank 218:	 158.812 MiB
[MEMUSAGE] Rank 219:	 158.789 MiB
[MEMUSAGE] Rank 220:	 158.977 MiB
[MEMUSAGE] Rank 221:	 158.918 MiB
[MEMUSAGE] Rank 222:	 158.902 MiB
[MEMUSAGE] Rank 223:	 158.668 MiB
[MEMUSAGE] Rank 224:	 158.656 MiB
[MEMUSAGE] Rank 225:	 158.840 MiB
[MEMUSAGE] Rank 226:	 158.770 MiB
[MEMUSAGE] Rank 227:	 158.723 MiB
[MEMUSAGE] Rank 228:	 160.840 MiB
[MEMUSAGE] Rank 229:	 158.703 MiB
[MEMUSAGE] Rank 230:	 158.777 MiB
[MEMUSAGE] Rank 231:	 158.754 MiB
[MEMUSAGE] Rank 232:	 158.938 MiB
[MEMUSAGE] Rank 233:	 158.742 MiB
[MEMUSAGE] Rank 234:	 158.898 MiB
[MEMUSAGE] Rank 235:	 158.805 MiB
[MEMUSAGE] Rank 236:	 158.945 MiB
[MEMUSAGE] Rank 237:	 158.871 MiB
[MEMUSAGE] Rank 238:	 159.059 MiB
[MEMUSAGE] Rank 239:	 158.746 MiB
[MEMUSAGE] Rank 240:	 158.785 MiB
[MEMUSAGE] Rank 241:	 158.699 MiB
[MEMUSAGE] Rank 242:	 160.664 MiB
[MEMUSAGE] Rank 243:	 158.902 MiB
[MEMUSAGE] Rank 244:	 158.641 MiB
[MEMUSAGE] Rank 245:	 158.785 MiB
[MEMUSAGE] Rank 246:	 160.797 MiB
[MEMUSAGE] Rank 247:	 158.484 MiB
[MEMUSAGE] Rank 248:	 158.559 MiB
[MEMUSAGE] Rank 249:	 160.621 MiB
[MEMUSAGE] Rank 250:	 160.695 MiB
[MEMUSAGE] Rank 251:	 158.652 MiB
[MEMUSAGE] Rank 252:	 158.758 MiB
[MEMUSAGE] Rank 253:	 158.762 MiB
[MEMUSAGE] Rank 254:	 156.598 MiB
[MEMUSAGE] Rank 255:	 158.602 MiB
[MEMUSAGE] Rank 256:	 158.812 MiB
[MEMUSAGE] Rank 257:	 158.891 MiB
[MEMUSAGE] Rank 258:	 161.043 MiB
[MEMUSAGE] Rank 259:	 158.668 MiB
[MEMUSAGE] Rank 260:	 158.980 MiB
[MEMUSAGE] Rank 261:	 158.770 MiB
[MEMUSAGE] Rank 262:	 158.945 MiB
[MEMUSAGE] Rank 263:	 160.789 MiB
[MEMUSAGE] Rank 264:	 158.895 MiB
[MEMUSAGE] Rank 265:	 158.938 MiB
[MEMUSAGE] Rank 266:	 159.207 MiB
[MEMUSAGE] Rank 267:	 160.883 MiB
[MEMUSAGE] Rank 268:	 159.074 MiB
[MEMUSAGE] Rank 269:	 158.863 MiB
[MEMUSAGE] Rank 270:	 159.039 MiB
[MEMUSAGE] Rank 271:	 158.738 MiB
[MEMUSAGE] Rank 272:	 159.031 MiB
[MEMUSAGE] Rank 273:	 158.961 MiB
[MEMUSAGE] Rank 274:	 159.031 MiB
