nodelist=n23m[0249-0256,0258-0265]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 768
Grid size              = 192000
Radius of stencil      = 1
Tiles in x/y-direction = 24/32
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 400
Solution validates
Rate (MFlops/s): 1652204.792346  Avg time (s): 0.245427  Total time (s): 98.170773
[MEMUSAGE] Total Memory Consumption (max_rss): 674392.391 MiB
[MEMUSAGE] Rank 114:	 878.039 MiB
[MEMUSAGE] Rank 115:	 878.066 MiB
[MEMUSAGE] Rank 116:	 878.105 MiB
[MEMUSAGE] Rank 117:	 878.137 MiB
[MEMUSAGE] Rank 118:	 880.070 MiB
[MEMUSAGE] Rank 119:	 878.059 MiB
[MEMUSAGE] Rank 120:	 878.227 MiB
[MEMUSAGE] Rank 121:	 878.152 MiB
[MEMUSAGE] Rank 122:	 878.133 MiB
[MEMUSAGE] Rank 123:	 877.984 MiB
[MEMUSAGE] Rank 124:	 877.938 MiB
[MEMUSAGE] Rank 125:	 877.969 MiB
[MEMUSAGE] Rank 126:	 880.301 MiB
[MEMUSAGE] Rank 127:	 877.941 MiB
[MEMUSAGE] Rank 128:	 877.953 MiB
[MEMUSAGE] Rank 129:	 877.832 MiB
[MEMUSAGE] Rank 130:	 878.000 MiB
[MEMUSAGE] Rank 131:	 877.801 MiB
[MEMUSAGE] Rank 132:	 878.043 MiB
[MEMUSAGE] Rank 133:	 877.824 MiB
[MEMUSAGE] Rank 134:	 877.844 MiB
[MEMUSAGE] Rank 135:	 878.012 MiB
[MEMUSAGE] Rank 136:	 877.809 MiB
[MEMUSAGE] Rank 137:	 877.984 MiB
[MEMUSAGE] Rank 138:	 875.934 MiB
[MEMUSAGE] Rank 139:	 877.918 MiB
[MEMUSAGE] Rank 140:	 877.828 MiB
[MEMUSAGE] Rank 141:	 877.895 MiB
[MEMUSAGE] Rank 142:	 877.949 MiB
[MEMUSAGE] Rank 143:	 877.891 MiB
[MEMUSAGE] Rank 144:	 878.164 MiB
[MEMUSAGE] Rank 145:	 877.898 MiB
[MEMUSAGE] Rank 146:	 877.934 MiB
[MEMUSAGE] Rank 147:	 878.129 MiB
[MEMUSAGE] Rank 148:	 877.828 MiB
[MEMUSAGE] Rank 149:	 877.758 MiB
[MEMUSAGE] Rank 150:	 878.234 MiB
[MEMUSAGE] Rank 151:	 877.883 MiB
[MEMUSAGE] Rank 152:	 878.090 MiB
[MEMUSAGE] Rank 153:	 878.090 MiB
[MEMUSAGE] Rank 154:	 879.824 MiB
[MEMUSAGE] Rank 155:	 879.836 MiB
[MEMUSAGE] Rank 156:	 878.035 MiB
[MEMUSAGE] Rank 157:	 878.004 MiB
[MEMUSAGE] Rank 158:	 877.887 MiB
[MEMUSAGE] Rank 159:	 877.941 MiB
[MEMUSAGE] Rank 160:	 877.969 MiB
[MEMUSAGE] Rank 161:	 878.262 MiB
[MEMUSAGE] Rank 162:	 879.910 MiB
[MEMUSAGE] Rank 163:	 878.152 MiB
[MEMUSAGE] Rank 164:	 880.043 MiB
[MEMUSAGE] Rank 165:	 877.812 MiB
[MEMUSAGE] Rank 166:	 877.914 MiB
[MEMUSAGE] Rank 167:	 877.887 MiB
[MEMUSAGE] Rank 168:	 876.129 MiB
[MEMUSAGE] Rank 169:	 875.887 MiB
[MEMUSAGE] Rank 170:	 878.055 MiB
[MEMUSAGE] Rank 171:	 877.926 MiB
[MEMUSAGE] Rank 172:	 876.039 MiB
[MEMUSAGE] Rank 173:	 877.812 MiB
[MEMUSAGE] Rank 174:	 878.133 MiB
[MEMUSAGE] Rank 175:	 878.039 MiB
[MEMUSAGE] Rank 176:	 878.008 MiB
[MEMUSAGE] Rank 177:	 878.062 MiB
[MEMUSAGE] Rank 178:	 877.918 MiB
[MEMUSAGE] Rank 179:	 879.895 MiB
[MEMUSAGE] Rank 180:	 877.766 MiB
[MEMUSAGE] Rank 181:	 878.039 MiB
[MEMUSAGE] Rank 182:	 879.848 MiB
[MEMUSAGE] Rank 183:	 877.785 MiB
[MEMUSAGE] Rank 184:	 878.156 MiB
[MEMUSAGE] Rank 185:	 877.727 MiB
[MEMUSAGE] Rank 186:	 879.836 MiB
[MEMUSAGE] Rank 187:	 877.832 MiB
[MEMUSAGE] Rank 188:	 878.031 MiB
[MEMUSAGE] Rank 189:	 878.043 MiB
[MEMUSAGE] Rank 190:	 879.938 MiB
[MEMUSAGE] Rank 191:	 877.906 MiB
[MEMUSAGE] Rank 192:	 876.070 MiB
[MEMUSAGE] Rank 193:	 879.688 MiB
[MEMUSAGE] Rank 194:	 877.980 MiB
[MEMUSAGE] Rank 195:	 879.926 MiB
[MEMUSAGE] Rank 196:	 879.812 MiB
[MEMUSAGE] Rank 197:	 880.043 MiB
[MEMUSAGE] Rank 198:	 880.164 MiB
[MEMUSAGE] Rank 199:	 878.043 MiB
[MEMUSAGE] Rank 200:	 878.066 MiB
[MEMUSAGE] Rank 201:	 878.137 MiB
[MEMUSAGE] Rank 202:	 878.051 MiB
[MEMUSAGE] Rank 203:	 877.930 MiB
[MEMUSAGE] Rank 204:	 882.027 MiB
[MEMUSAGE] Rank 205:	 877.758 MiB
[MEMUSAGE] Rank 206:	 878.023 MiB
[MEMUSAGE] Rank 207:	 877.793 MiB
[MEMUSAGE] Rank 208:	 877.895 MiB
[MEMUSAGE] Rank 209:	 877.871 MiB
[MEMUSAGE] Rank 210:	 878.086 MiB
[MEMUSAGE] Rank 211:	 878.160 MiB
[MEMUSAGE] Rank 212:	 877.762 MiB
[MEMUSAGE] Rank 213:	 877.984 MiB
[MEMUSAGE] Rank 214:	 877.879 MiB
[MEMUSAGE] Rank 215:	 878.051 MiB
[MEMUSAGE] Rank 216:	 877.734 MiB
[MEMUSAGE] Rank 217:	 878.047 MiB
[MEMUSAGE] Rank 218:	 877.883 MiB
[MEMUSAGE] Rank 219:	 877.918 MiB
[MEMUSAGE] Rank 220:	 878.145 MiB
[MEMUSAGE] Rank 221:	 878.184 MiB
[MEMUSAGE] Rank 222:	 879.945 MiB
[MEMUSAGE] Rank 223:	 877.965 MiB
[MEMUSAGE] Rank 224:	 877.957 MiB
[MEMUSAGE] Rank 225:	 878.035 MiB
[MEMUSAGE] Rank 226:	 878.012 MiB
[MEMUSAGE] Rank 227:	 877.910 MiB
[MEMUSAGE] Rank 228:	 877.816 MiB
[MEMUSAGE] Rank 229:	 877.930 MiB
[MEMUSAGE] Rank 230:	 877.812 MiB
[MEMUSAGE] Rank 231:	 877.754 MiB
[MEMUSAGE] Rank 232:	 877.922 MiB
[MEMUSAGE] Rank 233:	 877.926 MiB
[MEMUSAGE] Rank 234:	 877.930 MiB
[MEMUSAGE] Rank 235:	 877.805 MiB
[MEMUSAGE] Rank 236:	 878.012 MiB
[MEMUSAGE] Rank 237:	 877.816 MiB
[MEMUSAGE] Rank 238:	 877.961 MiB
[MEMUSAGE] Rank 239:	 877.867 MiB
[MEMUSAGE] Rank 240:	 880.172 MiB
[MEMUSAGE] Rank 241:	 877.746 MiB
[MEMUSAGE] Rank 242:	 878.059 MiB
[MEMUSAGE] Rank 243:	 878.094 MiB
[MEMUSAGE] Rank 244:	 877.848 MiB
[MEMUSAGE] Rank 245:	 878.012 MiB
[MEMUSAGE] Rank 246:	 878.098 MiB
[MEMUSAGE] Rank 247:	 877.754 MiB
[MEMUSAGE] Rank 248:	 880.004 MiB
[MEMUSAGE] Rank 249:	 877.898 MiB
[MEMUSAGE] Rank 250:	 878.000 MiB
[MEMUSAGE] Rank 251:	 875.855 MiB
[MEMUSAGE] Rank 252:	 878.027 MiB
[MEMUSAGE] Rank 253:	 877.965 MiB
[MEMUSAGE] Rank 254:	 878.352 MiB
[MEMUSAGE] Rank 255:	 879.914 MiB
[MEMUSAGE] Rank 256:	 878.145 MiB
[MEMUSAGE] Rank 257:	 878.035 MiB
[MEMUSAGE] Rank 258:	 878.203 MiB
[MEMUSAGE] Rank 259:	 878.020 MiB
[MEMUSAGE] Rank 260:	 878.102 MiB
[MEMUSAGE] Rank 261:	 877.820 MiB
[MEMUSAGE] Rank 262:	 878.086 MiB
[MEMUSAGE] Rank 263:	 877.836 MiB
[MEMUSAGE] Rank 264:	 880.078 MiB
[MEMUSAGE] Rank 265:	 878.016 MiB
[MEMUSAGE] Rank 266:	 878.070 MiB
[MEMUSAGE] Rank 267:	 877.988 MiB
[MEMUSAGE] Rank 268:	 878.215 MiB
[MEMUSAGE] Rank 269:	 877.875 MiB
[MEMUSAGE] Rank 270:	 878.070 MiB
[MEMUSAGE] Rank 271:	 877.953 MiB
[MEMUSAGE] Rank 272:	 880.160 MiB
[MEMUSAGE] Rank 273:	 877.781 MiB
[MEMUSAGE] Rank 274:	 877.973 MiB
[MEMUSAGE] Rank 275:	 875.688 MiB
[MEMUSAGE] Rank 276:	 877.832 MiB
[MEMUSAGE] Rank 277:	 877.848 MiB
[MEMUSAGE] Rank 278:	 877.922 MiB
[MEMUSAGE] Rank 279:	 877.918 MiB
[MEMUSAGE] Rank 280:	 877.969 MiB
[MEMUSAGE] Rank 281:	 877.965 MiB
[MEMUSAGE] Rank 282:	 878.000 MiB
[MEMUSAGE] Rank 283:	 877.961 MiB
[MEMUSAGE] Rank 284:	 878.098 MiB
[MEMUSAGE] Rank 285:	 877.906 MiB
[MEMUSAGE] Rank 286:	 877.980 MiB
[MEMUSAGE] Rank 287:	 877.867 MiB
[MEMUSAGE] Rank 288:	 877.664 MiB
[MEMUSAGE] Rank 289:	 879.996 MiB
[MEMUSAGE] Rank 290:	 878.086 MiB
[MEMUSAGE] Rank 291:	 878.090 MiB
[MEMUSAGE] Rank 292:	 878.137 MiB
[MEMUSAGE] Rank 293:	 877.828 MiB
[MEMUSAGE] Rank 294:	 880.172 MiB
[MEMUSAGE] Rank 295:	 877.945 MiB
[MEMUSAGE] Rank 296:	 877.941 MiB
[MEMUSAGE] Rank 297:	 879.984 MiB
[MEMUSAGE] Rank 298:	 878.168 MiB
[MEMUSAGE] Rank 299:	 878.066 MiB
[MEMUSAGE] Rank 300:	 878.211 MiB
[MEMUSAGE] Rank 301:	 878.078 MiB
[MEMUSAGE] Rank 302:	 877.781 MiB
[MEMUSAGE] Rank 303:	 877.828 MiB
[MEMUSAGE] Rank 304:	 878.035 MiB
[MEMUSAGE] Rank 305:	 878.066 MiB
[MEMUSAGE] Rank 306:	 878.121 MiB
[MEMUSAGE] Rank 307:	 877.965 MiB
[MEMUSAGE] Rank 308:	 877.883 MiB
[MEMUSAGE] Rank 309:	 878.195 MiB
[MEMUSAGE] Rank 310:	 877.988 MiB
[MEMUSAGE] Rank 311:	 875.855 MiB
[MEMUSAGE] Rank 312:	 877.965 MiB
[MEMUSAGE] Rank 313:	 877.789 MiB
[MEMUSAGE] Rank 314:	 877.875 MiB
[MEMUSAGE] Rank 315:	 877.766 MiB
[MEMUSAGE] Rank 316:	 877.898 MiB
[MEMUSAGE] Rank 317:	 877.965 MiB
[MEMUSAGE] Rank 318:	 876.137 MiB
[MEMUSAGE] Rank 319:	 878.105 MiB
[MEMUSAGE] Rank 320:	 878.090 MiB
[MEMUSAGE] Rank 321:	 879.676 MiB
[MEMUSAGE] Rank 322:	 877.883 MiB
[MEMUSAGE] Rank 323:	 877.961 MiB
[MEMUSAGE] Rank 324:	 877.809 MiB
[MEMUSAGE] Rank 325:	 877.621 MiB
[MEMUSAGE] Rank 326:	 877.949 MiB
[MEMUSAGE] Rank 327:	 877.727 MiB
[MEMUSAGE] Rank 328:	 880.016 MiB
[MEMUSAGE] Rank 329:	 877.820 MiB
[MEMUSAGE] Rank 330:	 877.938 MiB
[MEMUSAGE] Rank 331:	 877.996 MiB
[MEMUSAGE] Rank 332:	 877.879 MiB
[MEMUSAGE] Rank 333:	 879.809 MiB
[MEMUSAGE] Rank 334:	 877.871 MiB
[MEMUSAGE] Rank 335:	 879.848 MiB
[MEMUSAGE] Rank 336:	 878.000 MiB
[MEMUSAGE] Rank 337:	 878.059 MiB
[MEMUSAGE] Rank 338:	 880.117 MiB
[MEMUSAGE] Rank 339:	 877.828 MiB
[MEMUSAGE] Rank 340:	 877.930 MiB
[MEMUSAGE] Rank 341:	 877.887 MiB
[MEMUSAGE] Rank 342:	 878.285 MiB
[MEMUSAGE] Rank 343:	 878.113 MiB
[MEMUSAGE] Rank 344:	 878.074 MiB
[MEMUSAGE] Rank 345:	 877.938 MiB
[MEMUSAGE] Rank 346:	 878.051 MiB
[MEMUSAGE] Rank 347:	 878.156 MiB
[MEMUSAGE] Rank 348:	 880.059 MiB
[MEMUSAGE] Rank 349:	 878.055 MiB
[MEMUSAGE] Rank 350:	 878.016 MiB
[MEMUSAGE] Rank 351:	 878.059 MiB
[MEMUSAGE] Rank 352:	 878.043 MiB
[MEMUSAGE] Rank 353:	 878.074 MiB
[MEMUSAGE] Rank 354:	 878.020 MiB
[MEMUSAGE] Rank 355:	 878.070 MiB
[MEMUSAGE] Rank 356:	 877.918 MiB
[MEMUSAGE] Rank 357:	 877.875 MiB
[MEMUSAGE] Rank 358:	 877.895 MiB
[MEMUSAGE] Rank 359:	 877.590 MiB
[MEMUSAGE] Rank 360:	 877.699 MiB
[MEMUSAGE] Rank 361:	 877.844 MiB
[MEMUSAGE] Rank 362:	 877.805 MiB
[MEMUSAGE] Rank 363:	 877.926 MiB
[MEMUSAGE] Rank 364:	 877.895 MiB
[MEMUSAGE] Rank 365:	 877.910 MiB
[MEMUSAGE] Rank 366:	 878.039 MiB
[MEMUSAGE] Rank 367:	 877.715 MiB
[MEMUSAGE] Rank 368:	 877.945 MiB
[MEMUSAGE] Rank 369:	 877.988 MiB
[MEMUSAGE] Rank 370:	 878.004 MiB
[MEMUSAGE] Rank 371:	 877.734 MiB
[MEMUSAGE] Rank 372:	 876.066 MiB
[MEMUSAGE] Rank 373:	 878.141 MiB
[MEMUSAGE] Rank 374:	 878.105 MiB
[MEMUSAGE] Rank 375:	 877.844 MiB
[MEMUSAGE] Rank 376:	 879.840 MiB
[MEMUSAGE] Rank 377:	 877.949 MiB
[MEMUSAGE] Rank 378:	 878.027 MiB
[MEMUSAGE] Rank 379:	 878.086 MiB
[MEMUSAGE] Rank 380:	 878.035 MiB
[MEMUSAGE] Rank 381:	 877.578 MiB
[MEMUSAGE] Rank 382:	 879.902 MiB
[MEMUSAGE] Rank 383:	 877.742 MiB
[MEMUSAGE] Rank 384:	 877.977 MiB
[MEMUSAGE] Rank 385:	 878.223 MiB
[MEMUSAGE] Rank 386:	 878.152 MiB
[MEMUSAGE] Rank 387:	 877.969 MiB
[MEMUSAGE] Rank 388:	 877.961 MiB
[MEMUSAGE] Rank 389:	 877.922 MiB
[MEMUSAGE] Rank 390:	 878.008 MiB
[MEMUSAGE] Rank 391:	 876.008 MiB
[MEMUSAGE] Rank 392:	 878.301 MiB
[MEMUSAGE] Rank 393:	 878.160 MiB
[MEMUSAGE] Rank 394:	 878.309 MiB
[MEMUSAGE] Rank 395:	 878.168 MiB
[MEMUSAGE] Rank 396:	 878.293 MiB
[MEMUSAGE] Rank 397:	 878.023 MiB
[MEMUSAGE] Rank 398:	 877.992 MiB
[MEMUSAGE] Rank 399:	 880.051 MiB
[MEMUSAGE] Rank 400:	 877.895 MiB
[MEMUSAGE] Rank 401:	 877.949 MiB
[MEMUSAGE] Rank 402:	 877.902 MiB
[MEMUSAGE] Rank 403:	 877.934 MiB
[MEMUSAGE] Rank 404:	 880.105 MiB
[MEMUSAGE] Rank 405:	 877.852 MiB
[MEMUSAGE] Rank 406:	 879.840 MiB
