result:
| bench_id | wp_id |  compile | measurement | tasks | num_iters | grid_size | time_avg | time_std | rate (MFlops/s) | verification |
|----------|-------|----------|-------------|-------|-----------|-----------|----------|----------|-----------------|--------------|
|       54 |     9 |     base |        base |    48 |      1000 |     48000 |  260.029 |    0.125 |  168322.1808708 |      SUCCESS |
|       54 |    25 | tsan-opt |        must |    48 |      1000 |     48000 |  269.992 |    0.190 |  162110.9693858 |      SUCCESS |
|       54 |    14 |     base |        base |    96 |      1000 |     67883 |  260.286 |    0.042 |   336336.652915 |      SUCCESS |
|       54 |    34 | tsan-opt |        must |    96 |      1000 |     67883 |  280.235 |   12.443 |   312868.379221 |      FAILURE |
|       54 |    19 |     base |        base |   192 |      1000 |     96000 |  260.344 |    0.102 |  672530.0844482 |      SUCCESS |
|       54 |    39 | tsan-opt |        must |   192 |      1000 |     96000 |  278.015 |    4.815 |   629933.584275 |      FAILURE |
|       54 |    24 |     base |        base |   384 |      1000 |    135765 |  260.920 |    0.046 |  1342133.364505 |      SUCCESS |
|       54 |    44 | tsan-opt |        must |   384 |      1000 |    135765 |  290.624 |   14.382 | 1207242.5295444 |      SUCCESS |
