nodelist=n23m[0305-0315]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 512
# Total number of elements: 4096000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  512
   Iteration count     =  5753
   Final Origin Energy =  4.177699e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 2.852175e-09
        TotalAbsDiff = 3.305195e-08
        MaxRelDiff   = 3.787692e-14

Elapsed time         =    1.2e+02 (s)
Grind time (us/z/c)  =  2.6196611 (per dom)  ( 120.56728 overall)
FOM                  =  195445.13 (z/s)

[MEMUSAGE] Rank 106:	 161.008 MiB
[MEMUSAGE] Rank 107:	 157.125 MiB
[MEMUSAGE] Rank 108:	 158.996 MiB
[MEMUSAGE] Rank 109:	 158.820 MiB
[MEMUSAGE] Rank 110:	 158.977 MiB
[MEMUSAGE] Rank 111:	 158.594 MiB
[MEMUSAGE] Rank 112:	 160.695 MiB
[MEMUSAGE] Rank 113:	 158.898 MiB
[MEMUSAGE] Rank 114:	 159.016 MiB
[MEMUSAGE] Rank 115:	 158.922 MiB
[MEMUSAGE] Rank 116:	 158.852 MiB
[MEMUSAGE] Rank 117:	 158.938 MiB
[MEMUSAGE] Rank 118:	 159.004 MiB
[MEMUSAGE] Rank 119:	 158.859 MiB
[MEMUSAGE] Rank 120:	 158.777 MiB
[MEMUSAGE] Rank 121:	 160.801 MiB
[MEMUSAGE] Rank 122:	 158.965 MiB
[MEMUSAGE] Rank 123:	 160.676 MiB
[MEMUSAGE] Rank 124:	 158.945 MiB
[MEMUSAGE] Rank 125:	 158.633 MiB
[MEMUSAGE] Rank 126:	 159.023 MiB
[MEMUSAGE] Rank 127:	 158.531 MiB
[MEMUSAGE] Rank 128:	 158.836 MiB
[MEMUSAGE] Rank 129:	 158.660 MiB
[MEMUSAGE] Rank 130:	 158.660 MiB
[MEMUSAGE] Rank 131:	 158.559 MiB
[MEMUSAGE] Rank 132:	 158.520 MiB
[MEMUSAGE] Rank 133:	 160.637 MiB
[MEMUSAGE] Rank 134:	 158.723 MiB
[MEMUSAGE] Rank 135:	 158.461 MiB
[MEMUSAGE] Rank 136:	 160.695 MiB
[MEMUSAGE] Rank 137:	 158.746 MiB
[MEMUSAGE] Rank 138:	 158.613 MiB
[MEMUSAGE] Rank 139:	 158.656 MiB
[MEMUSAGE] Rank 140:	 158.684 MiB
[MEMUSAGE] Rank 141:	 160.609 MiB
[MEMUSAGE] Rank 142:	 158.852 MiB
[MEMUSAGE] Rank 143:	 156.672 MiB
[MEMUSAGE] Rank 144:	 156.723 MiB
[MEMUSAGE] Rank 145:	 160.551 MiB
[MEMUSAGE] Rank 146:	 158.695 MiB
[MEMUSAGE] Rank 147:	 158.863 MiB
[MEMUSAGE] Rank 148:	 158.770 MiB
[MEMUSAGE] Rank 149:	 160.691 MiB
[MEMUSAGE] Rank 150:	 158.723 MiB
[MEMUSAGE] Rank 151:	 158.500 MiB
[MEMUSAGE] Rank 152:	 158.598 MiB
[MEMUSAGE] Rank 153:	 158.840 MiB
[MEMUSAGE] Rank 154:	 158.773 MiB
[MEMUSAGE] Rank 155:	 158.820 MiB
[MEMUSAGE] Rank 156:	 160.816 MiB
[MEMUSAGE] Rank 157:	 160.734 MiB
[MEMUSAGE] Rank 158:	 158.965 MiB
[MEMUSAGE] Rank 159:	 158.836 MiB
[MEMUSAGE] Rank 160:	 158.715 MiB
[MEMUSAGE] Rank 161:	 160.727 MiB
[MEMUSAGE] Rank 162:	 158.895 MiB
[MEMUSAGE] Rank 163:	 158.777 MiB
[MEMUSAGE] Rank 164:	 158.922 MiB
[MEMUSAGE] Rank 165:	 158.617 MiB
[MEMUSAGE] Rank 166:	 160.875 MiB
[MEMUSAGE] Rank 167:	 158.605 MiB
[MEMUSAGE] Rank 168:	 158.629 MiB
[MEMUSAGE] Rank 169:	 158.984 MiB
[MEMUSAGE] Rank 170:	 158.809 MiB
[MEMUSAGE] Rank 171:	 158.617 MiB
[MEMUSAGE] Rank 172:	 158.910 MiB
[MEMUSAGE] Rank 173:	 158.852 MiB
[MEMUSAGE] Rank 174:	 156.770 MiB
[MEMUSAGE] Rank 175:	 158.625 MiB
[MEMUSAGE] Rank 176:	 158.816 MiB
[MEMUSAGE] Rank 177:	 158.875 MiB
[MEMUSAGE] Rank 178:	 158.934 MiB
[MEMUSAGE] Rank 179:	 159.008 MiB
[MEMUSAGE] Rank 180:	 158.973 MiB
[MEMUSAGE] Rank 181:	 160.770 MiB
[MEMUSAGE] Rank 182:	 158.926 MiB
[MEMUSAGE] Rank 183:	 158.594 MiB
[MEMUSAGE] Rank 184:	 160.723 MiB
[MEMUSAGE] Rank 185:	 158.688 MiB
[MEMUSAGE] Rank 186:	 160.906 MiB
[MEMUSAGE] Rank 187:	 158.895 MiB
[MEMUSAGE] Rank 188:	 158.578 MiB
[MEMUSAGE] Rank 189:	 158.574 MiB
[MEMUSAGE] Rank 190:	 158.684 MiB
[MEMUSAGE] Rank 191:	 158.398 MiB
[MEMUSAGE] Rank 192:	 158.910 MiB
[MEMUSAGE] Rank 193:	 158.605 MiB
[MEMUSAGE] Rank 194:	 158.801 MiB
[MEMUSAGE] Rank 195:	 158.910 MiB
[MEMUSAGE] Rank 196:	 158.688 MiB
[MEMUSAGE] Rank 197:	 158.953 MiB
[MEMUSAGE] Rank 198:	 159.066 MiB
[MEMUSAGE] Rank 199:	 158.566 MiB
[MEMUSAGE] Rank 200:	 160.859 MiB
[MEMUSAGE] Rank 201:	 159.004 MiB
[MEMUSAGE] Rank 202:	 160.617 MiB
[MEMUSAGE] Rank 203:	 158.930 MiB
[MEMUSAGE] Rank 204:	 156.918 MiB
[MEMUSAGE] Rank 205:	 158.703 MiB
[MEMUSAGE] Rank 206:	 159.078 MiB
[MEMUSAGE] Rank 207:	 158.828 MiB
[MEMUSAGE] Rank 208:	 158.910 MiB
[MEMUSAGE] Rank 209:	 158.867 MiB
[MEMUSAGE] Rank 210:	 157.004 MiB
[MEMUSAGE] Rank 211:	 160.887 MiB
[MEMUSAGE] Rank 212:	 159.000 MiB
[MEMUSAGE] Rank 213:	 160.766 MiB
[MEMUSAGE] Rank 214:	 158.867 MiB
[MEMUSAGE] Rank 215:	 158.629 MiB
[MEMUSAGE] Rank 216:	 158.887 MiB
[MEMUSAGE] Rank 217:	 159.023 MiB
[MEMUSAGE] Rank 218:	 160.793 MiB
[MEMUSAGE] Rank 219:	 156.844 MiB
[MEMUSAGE] Rank 220:	 159.043 MiB
[MEMUSAGE] Rank 221:	 157.113 MiB
[MEMUSAGE] Rank 222:	 158.988 MiB
[MEMUSAGE] Rank 223:	 158.828 MiB
[MEMUSAGE] Rank 224:	 158.547 MiB
[MEMUSAGE] Rank 225:	 158.844 MiB
[MEMUSAGE] Rank 226:	 158.730 MiB
[MEMUSAGE] Rank 227:	 158.750 MiB
[MEMUSAGE] Rank 228:	 158.680 MiB
[MEMUSAGE] Rank 229:	 158.664 MiB
[MEMUSAGE] Rank 230:	 158.824 MiB
[MEMUSAGE] Rank 231:	 156.391 MiB
[MEMUSAGE] Rank 232:	 160.652 MiB
[MEMUSAGE] Rank 233:	 160.746 MiB
[MEMUSAGE] Rank 234:	 158.523 MiB
[MEMUSAGE] Rank 235:	 158.734 MiB
[MEMUSAGE] Rank 236:	 160.777 MiB
[MEMUSAGE] Rank 237:	 160.750 MiB
[MEMUSAGE] Rank 238:	 158.863 MiB
[MEMUSAGE] Rank 239:	 158.691 MiB
[MEMUSAGE] Rank 240:	 158.598 MiB
[MEMUSAGE] Rank 241:	 158.594 MiB
[MEMUSAGE] Rank 242:	 158.660 MiB
[MEMUSAGE] Rank 243:	 160.832 MiB
[MEMUSAGE] Rank 244:	 159.016 MiB
[MEMUSAGE] Rank 245:	 158.789 MiB
[MEMUSAGE] Rank 246:	 160.719 MiB
[MEMUSAGE] Rank 247:	 158.738 MiB
[MEMUSAGE] Rank 248:	 158.773 MiB
[MEMUSAGE] Rank 249:	 158.730 MiB
[MEMUSAGE] Rank 250:	 158.965 MiB
[MEMUSAGE] Rank 251:	 158.535 MiB
[MEMUSAGE] Rank 252:	 158.770 MiB
[MEMUSAGE] Rank 253:	 158.578 MiB
[MEMUSAGE] Rank 254:	 158.773 MiB
[MEMUSAGE] Rank 255:	 158.676 MiB
