nodelist=n23m[0147-0148,0150-0158]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 512
# Total number of elements: 4096000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  512
   Iteration count     =  5753
   Final Origin Energy =  4.177699e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 2.852175e-09
        TotalAbsDiff = 3.305195e-08
        MaxRelDiff   = 3.787692e-14

Elapsed time         =    1.2e+02 (s)
Grind time (us/z/c)  =  2.6320691 (per dom)  ( 121.13835 overall)
FOM                  =  194523.77 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 81384.562 MiB
[MEMUSAGE] Rank 105:	 158.832 MiB
[MEMUSAGE] Rank 106:	 158.840 MiB
[MEMUSAGE] Rank 107:	 158.719 MiB
[MEMUSAGE] Rank 108:	 158.754 MiB
[MEMUSAGE] Rank 109:	 158.707 MiB
[MEMUSAGE] Rank 110:	 158.938 MiB
[MEMUSAGE] Rank 111:	 158.770 MiB
[MEMUSAGE] Rank 112:	 158.902 MiB
[MEMUSAGE] Rank 113:	 159.035 MiB
[MEMUSAGE] Rank 114:	 158.996 MiB
[MEMUSAGE] Rank 115:	 159.020 MiB
[MEMUSAGE] Rank 116:	 159.102 MiB
[MEMUSAGE] Rank 117:	 158.910 MiB
[MEMUSAGE] Rank 118:	 158.930 MiB
[MEMUSAGE] Rank 119:	 158.734 MiB
[MEMUSAGE] Rank 120:	 158.852 MiB
[MEMUSAGE] Rank 121:	 158.688 MiB
[MEMUSAGE] Rank 122:	 158.941 MiB
[MEMUSAGE] Rank 123:	 160.758 MiB
[MEMUSAGE] Rank 124:	 158.949 MiB
[MEMUSAGE] Rank 125:	 158.836 MiB
[MEMUSAGE] Rank 126:	 158.762 MiB
[MEMUSAGE] Rank 127:	 158.820 MiB
[MEMUSAGE] Rank 128:	 156.590 MiB
[MEMUSAGE] Rank 129:	 158.719 MiB
[MEMUSAGE] Rank 130:	 158.730 MiB
[MEMUSAGE] Rank 131:	 158.516 MiB
[MEMUSAGE] Rank 132:	 158.695 MiB
[MEMUSAGE] Rank 133:	 158.688 MiB
[MEMUSAGE] Rank 134:	 158.660 MiB
[MEMUSAGE] Rank 135:	 158.520 MiB
[MEMUSAGE] Rank 136:	 158.684 MiB
[MEMUSAGE] Rank 137:	 158.633 MiB
[MEMUSAGE] Rank 138:	 158.723 MiB
[MEMUSAGE] Rank 139:	 158.746 MiB
[MEMUSAGE] Rank 140:	 156.648 MiB
[MEMUSAGE] Rank 141:	 158.688 MiB
[MEMUSAGE] Rank 142:	 158.957 MiB
[MEMUSAGE] Rank 143:	 158.875 MiB
[MEMUSAGE] Rank 144:	 158.754 MiB
[MEMUSAGE] Rank 145:	 158.738 MiB
[MEMUSAGE] Rank 146:	 158.797 MiB
[MEMUSAGE] Rank 147:	 160.637 MiB
[MEMUSAGE] Rank 148:	 158.855 MiB
[MEMUSAGE] Rank 149:	 158.820 MiB
[MEMUSAGE] Rank 150:	 158.906 MiB
[MEMUSAGE] Rank 151:	 158.746 MiB
[MEMUSAGE] Rank 152:	 158.727 MiB
[MEMUSAGE] Rank 153:	 158.953 MiB
[MEMUSAGE] Rank 154:	 158.777 MiB
[MEMUSAGE] Rank 155:	 158.984 MiB
[MEMUSAGE] Rank 156:	 156.879 MiB
[MEMUSAGE] Rank 157:	 157.023 MiB
[MEMUSAGE] Rank 158:	 158.832 MiB
[MEMUSAGE] Rank 159:	 160.609 MiB
[MEMUSAGE] Rank 160:	 158.902 MiB
[MEMUSAGE] Rank 161:	 160.805 MiB
[MEMUSAGE] Rank 162:	 158.855 MiB
[MEMUSAGE] Rank 163:	 158.688 MiB
[MEMUSAGE] Rank 164:	 158.961 MiB
[MEMUSAGE] Rank 165:	 158.738 MiB
[MEMUSAGE] Rank 166:	 160.844 MiB
[MEMUSAGE] Rank 167:	 158.598 MiB
[MEMUSAGE] Rank 168:	 158.992 MiB
[MEMUSAGE] Rank 169:	 158.688 MiB
[MEMUSAGE] Rank 170:	 158.852 MiB
[MEMUSAGE] Rank 171:	 160.703 MiB
[MEMUSAGE] Rank 172:	 158.883 MiB
[MEMUSAGE] Rank 173:	 158.867 MiB
[MEMUSAGE] Rank 174:	 158.828 MiB
[MEMUSAGE] Rank 175:	 158.555 MiB
[MEMUSAGE] Rank 176:	 158.836 MiB
[MEMUSAGE] Rank 177:	 158.910 MiB
[MEMUSAGE] Rank 178:	 159.203 MiB
[MEMUSAGE] Rank 179:	 159.152 MiB
[MEMUSAGE] Rank 180:	 159.109 MiB
[MEMUSAGE] Rank 181:	 158.918 MiB
[MEMUSAGE] Rank 182:	 158.887 MiB
[MEMUSAGE] Rank 183:	 158.742 MiB
[MEMUSAGE] Rank 184:	 158.754 MiB
[MEMUSAGE] Rank 185:	 158.820 MiB
[MEMUSAGE] Rank 186:	 158.816 MiB
[MEMUSAGE] Rank 187:	 158.855 MiB
[MEMUSAGE] Rank 188:	 158.566 MiB
[MEMUSAGE] Rank 189:	 158.508 MiB
[MEMUSAGE] Rank 190:	 160.641 MiB
[MEMUSAGE] Rank 191:	 158.586 MiB
[MEMUSAGE] Rank 192:	 158.641 MiB
[MEMUSAGE] Rank 193:	 158.727 MiB
[MEMUSAGE] Rank 194:	 158.789 MiB
[MEMUSAGE] Rank 195:	 158.902 MiB
[MEMUSAGE] Rank 196:	 158.801 MiB
[MEMUSAGE] Rank 197:	 158.695 MiB
[MEMUSAGE] Rank 198:	 156.934 MiB
[MEMUSAGE] Rank 199:	 160.672 MiB
[MEMUSAGE] Rank 200:	 158.863 MiB
[MEMUSAGE] Rank 201:	 159.008 MiB
[MEMUSAGE] Rank 202:	 158.973 MiB
[MEMUSAGE] Rank 203:	 158.965 MiB
[MEMUSAGE] Rank 204:	 161.027 MiB
[MEMUSAGE] Rank 205:	 158.875 MiB
[MEMUSAGE] Rank 206:	 156.922 MiB
[MEMUSAGE] Rank 207:	 162.703 MiB
[MEMUSAGE] Rank 208:	 158.867 MiB
[MEMUSAGE] Rank 209:	 160.930 MiB
[MEMUSAGE] Rank 210:	 158.891 MiB
[MEMUSAGE] Rank 211:	 158.941 MiB
[MEMUSAGE] Rank 212:	 159.113 MiB
[MEMUSAGE] Rank 213:	 158.902 MiB
[MEMUSAGE] Rank 214:	 159.082 MiB
[MEMUSAGE] Rank 215:	 158.711 MiB
[MEMUSAGE] Rank 216:	 160.883 MiB
[MEMUSAGE] Rank 217:	 158.961 MiB
[MEMUSAGE] Rank 218:	 159.020 MiB
[MEMUSAGE] Rank 219:	 158.887 MiB
[MEMUSAGE] Rank 220:	 161.066 MiB
[MEMUSAGE] Rank 221:	 158.918 MiB
[MEMUSAGE] Rank 222:	 158.945 MiB
[MEMUSAGE] Rank 223:	 158.621 MiB
[MEMUSAGE] Rank 224:	 160.605 MiB
[MEMUSAGE] Rank 225:	 158.738 MiB
[MEMUSAGE] Rank 226:	 158.832 MiB
[MEMUSAGE] Rank 227:	 158.684 MiB
[MEMUSAGE] Rank 228:	 158.805 MiB
[MEMUSAGE] Rank 229:	 158.738 MiB
[MEMUSAGE] Rank 230:	 158.797 MiB
[MEMUSAGE] Rank 231:	 158.594 MiB
[MEMUSAGE] Rank 232:	 156.746 MiB
[MEMUSAGE] Rank 233:	 158.578 MiB
[MEMUSAGE] Rank 234:	 158.805 MiB
[MEMUSAGE] Rank 235:	 158.902 MiB
[MEMUSAGE] Rank 236:	 158.938 MiB
[MEMUSAGE] Rank 237:	 159.004 MiB
[MEMUSAGE] Rank 238:	 158.934 MiB
[MEMUSAGE] Rank 239:	 156.844 MiB
[MEMUSAGE] Rank 240:	 158.758 MiB
[MEMUSAGE] Rank 241:	 158.723 MiB
[MEMUSAGE] Rank 242:	 158.812 MiB
[MEMUSAGE] Rank 243:	 158.793 MiB
[MEMUSAGE] Rank 244:	 158.785 MiB
[MEMUSAGE] Rank 245:	 156.852 MiB
[MEMUSAGE] Rank 246:	 158.785 MiB
[MEMUSAGE] Rank 247:	 158.496 MiB
[MEMUSAGE] Rank 248:	 158.684 MiB
[MEMUSAGE] Rank 249:	 158.656 MiB
[MEMUSAGE] Rank 250:	 160.762 MiB
[MEMUSAGE] Rank 251:	 158.941 MiB
[MEMUSAGE] Rank 252:	 158.875 MiB
[MEMUSAGE] Rank 253:	 158.793 MiB
[MEMUSAGE] Rank 254:	 158.836 MiB
[MEMUSAGE] Rank 255:	 158.645 MiB
[MEMUSAGE] Rank 256:	 158.555 MiB
[MEMUSAGE] Rank 257:	 158.711 MiB
[MEMUSAGE] Rank 258:	 158.840 MiB
[MEMUSAGE] Rank 259:	 158.773 MiB
[MEMUSAGE] Rank 260:	 158.863 MiB
[MEMUSAGE] Rank 261:	 158.828 MiB
[MEMUSAGE] Rank 262:	 158.844 MiB
[MEMUSAGE] Rank 263:	 158.828 MiB
[MEMUSAGE] Rank 264:	 158.930 MiB
[MEMUSAGE] Rank 265:	 158.848 MiB
[MEMUSAGE] Rank 266:	 159.066 MiB
[MEMUSAGE] Rank 267:	 159.066 MiB
[MEMUSAGE] Rank 268:	 159.012 MiB
[MEMUSAGE] Rank 269:	 159.145 MiB
[MEMUSAGE] Rank 270:	 159.051 MiB
[MEMUSAGE] Rank 271:	 158.625 MiB
[MEMUSAGE] Rank 272:	 157.023 MiB
[MEMUSAGE] Rank 273:	 159.113 MiB
[MEMUSAGE] Rank 274:	 161.031 MiB
[MEMUSAGE] Rank 275:	 157.145 MiB
[MEMUSAGE] Rank 276:	 161.016 MiB
[MEMUSAGE] Rank 277:	 159.047 MiB
[MEMUSAGE] Rank 278:	 159.023 MiB
[MEMUSAGE] Rank 279:	 158.957 MiB
[MEMUSAGE] Rank 280:	 158.918 MiB
[MEMUSAGE] Rank 281:	 157.008 MiB
[MEMUSAGE] Rank 282:	 158.820 MiB
[MEMUSAGE] Rank 283:	 158.809 MiB
[MEMUSAGE] Rank 284:	 160.996 MiB
[MEMUSAGE] Rank 285:	 160.770 MiB
[MEMUSAGE] Rank 286:	 159.039 MiB
[MEMUSAGE] Rank 287:	 158.730 MiB
[MEMUSAGE] Rank 288:	 158.742 MiB
[MEMUSAGE] Rank 289:	 158.770 MiB
[MEMUSAGE] Rank 290:	 160.941 MiB
[MEMUSAGE] Rank 291:	 158.867 MiB
[MEMUSAGE] Rank 292:	 158.797 MiB
[MEMUSAGE] Rank 293:	 160.836 MiB
[MEMUSAGE] Rank 294:	 158.859 MiB
[MEMUSAGE] Rank 295:	 158.812 MiB
[MEMUSAGE] Rank 296:	 158.914 MiB
[MEMUSAGE] Rank 297:	 160.746 MiB
[MEMUSAGE] Rank 298:	 158.918 MiB
[MEMUSAGE] Rank 299:	 158.797 MiB
[MEMUSAGE] Rank 300:	 158.914 MiB
[MEMUSAGE] Rank 301:	 160.918 MiB
[MEMUSAGE] Rank 302:	 158.820 MiB
[MEMUSAGE] Rank 303:	 156.703 MiB
[MEMUSAGE] Rank 304:	 159.070 MiB
[MEMUSAGE] Rank 305:	 159.078 MiB
[MEMUSAGE] Rank 306:	 159.070 MiB
[MEMUSAGE] Rank 307:	 158.945 MiB
[MEMUSAGE] Rank 308:	 159.047 MiB
[MEMUSAGE] Rank 309:	 159.164 MiB
[MEMUSAGE] Rank 310:	 159.098 MiB
[MEMUSAGE] Rank 311:	 160.992 MiB
[MEMUSAGE] Rank 312:	 158.820 MiB
[MEMUSAGE] Rank 313:	 158.777 MiB
[MEMUSAGE] Rank 314:	 159.047 MiB
[MEMUSAGE] Rank 315:	 159.062 MiB
[MEMUSAGE] Rank 316:	 159.105 MiB
[MEMUSAGE] Rank 317:	 159.062 MiB
[MEMUSAGE] Rank 318:	 158.805 MiB
[MEMUSAGE] Rank 319:	 158.703 MiB
[MEMUSAGE] Rank 320:	 158.688 MiB
[MEMUSAGE] Rank 321:	 158.680 MiB
[MEMUSAGE] Rank 322:	 158.816 MiB
[MEMUSAGE] Rank 323:	 160.645 MiB
[MEMUSAGE] Rank 324:	 158.781 MiB
[MEMUSAGE] Rank 325:	 158.809 MiB
[MEMUSAGE] Rank 326:	 158.730 MiB
[MEMUSAGE] Rank 327:	 158.426 MiB
[MEMUSAGE] Rank 328:	 158.762 MiB
[MEMUSAGE] Rank 329:	 158.719 MiB
[MEMUSAGE] Rank 330:	 160.910 MiB
[MEMUSAGE] Rank 331:	 158.762 MiB
[MEMUSAGE] Rank 332:	 159.160 MiB
[MEMUSAGE] Rank 333:	 158.934 MiB
[MEMUSAGE] Rank 334:	 158.988 MiB
[MEMUSAGE] Rank 335:	 158.758 MiB
[MEMUSAGE] Rank 336:	 158.523 MiB
[MEMUSAGE] Rank 337:	 158.848 MiB
[MEMUSAGE] Rank 338:	 159.004 MiB
[MEMUSAGE] Rank 339:	 158.762 MiB
[MEMUSAGE] Rank 340:	 159.016 MiB
[MEMUSAGE] Rank 341:	 158.969 MiB
[MEMUSAGE] Rank 342:	 156.789 MiB
[MEMUSAGE] Rank 343:	 158.793 MiB
[MEMUSAGE] Rank 344:	 157.016 MiB
[MEMUSAGE] Rank 345:	 158.766 MiB
[MEMUSAGE] Rank 346:	 158.719 MiB
[MEMUSAGE] Rank 347:	 158.953 MiB
[MEMUSAGE] Rank 348:	 157.082 MiB
[MEMUSAGE] Rank 349:	 158.684 MiB
[MEMUSAGE] Rank 350:	 159.027 MiB
[MEMUSAGE] Rank 351:	 158.656 MiB
[MEMUSAGE] Rank 352:	 158.848 MiB
[MEMUSAGE] Rank 353:	 158.934 MiB
[MEMUSAGE] Rank 354:	 159.027 MiB
[MEMUSAGE] Rank 355:	 158.836 MiB
[MEMUSAGE] Rank 356:	 159.004 MiB
[MEMUSAGE] Rank 357:	 160.812 MiB
[MEMUSAGE] Rank 358:	 156.867 MiB
[MEMUSAGE] Rank 359:	 158.707 MiB
[MEMUSAGE] Rank 360:	 158.742 MiB
[MEMUSAGE] Rank 361:	 158.871 MiB
[MEMUSAGE] Rank 362:	 158.965 MiB
[MEMUSAGE] Rank 363:	 160.836 MiB
[MEMUSAGE] Rank 364:	 159.012 MiB
[MEMUSAGE] Rank 365:	 158.840 MiB
[MEMUSAGE] Rank 366:	 158.961 MiB
[MEMUSAGE] Rank 367:	 158.676 MiB
[MEMUSAGE] Rank 368:	 158.875 MiB
[MEMUSAGE] Rank 369:	 159.027 MiB
[MEMUSAGE] Rank 370:	 159.121 MiB
[MEMUSAGE] Rank 371:	 158.977 MiB
[MEMUSAGE] Rank 372:	 159.023 MiB
[MEMUSAGE] Rank 373:	 158.902 MiB
[MEMUSAGE] Rank 374:	 158.703 MiB
[MEMUSAGE] Rank 375:	 160.664 MiB
[MEMUSAGE] Rank 376:	 156.637 MiB
[MEMUSAGE] Rank 377:	 156.699 MiB
[MEMUSAGE] Rank 378:	 158.781 MiB
[MEMUSAGE] Rank 379:	 158.742 MiB
[MEMUSAGE] Rank 380:	 158.684 MiB
[MEMUSAGE] Rank 381:	 160.523 MiB
[MEMUSAGE] Rank 382:	 158.680 MiB
[MEMUSAGE] Rank 383:	 156.598 MiB
[MEMUSAGE] Rank 384:	 158.863 MiB
[MEMUSAGE] Rank 385:	 158.926 MiB
[MEMUSAGE] Rank 386:	 159.027 MiB
[MEMUSAGE] Rank 387:	 158.645 MiB
[MEMUSAGE] Rank 388:	 160.977 MiB
[MEMUSAGE] Rank 389:	 158.859 MiB
[MEMUSAGE] Rank 390:	 159.090 MiB
[MEMUSAGE] Rank 391:	 158.758 MiB
[MEMUSAGE] Rank 392:	 159.031 MiB
[MEMUSAGE] Rank 393:	 159.129 MiB
[MEMUSAGE] Rank 394:	 161.090 MiB
[MEMUSAGE] Rank 395:	 159.039 MiB
[MEMUSAGE] Rank 396:	 160.938 MiB
[MEMUSAGE] Rank 397:	 159.031 MiB
[MEMUSAGE] Rank 398:	 159.008 MiB
[MEMUSAGE] Rank 399:	 158.672 MiB
[MEMUSAGE] Rank 400:	 160.969 MiB
[MEMUSAGE] Rank 401:	 157.074 MiB
[MEMUSAGE] Rank 402:	 158.871 MiB
[MEMUSAGE] Rank 403:	 159.066 MiB
[MEMUSAGE] Rank 404:	 161.047 MiB
[MEMUSAGE] Rank 405:	 158.914 MiB
[MEMUSAGE] Rank 406:	 158.965 MiB
[MEMUSAGE] Rank 407:	 158.965 MiB
[MEMUSAGE] Rank 408:	 158.918 MiB
[MEMUSAGE] Rank 409:	 159.027 MiB
[MEMUSAGE] Rank 410:	 159.246 MiB
