nodelist=n23m[0300-0315]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 768
Grid size              = 192000
Radius of stencil      = 1
Tiles in x/y-direction = 24/32
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 400
Solution validates
Rate (MFlops/s): 1651825.121874  Avg time (s): 0.245483  Total time (s): 98.193337
[MEMUSAGE] Total Memory Consumption (max_rss): 674420.012 MiB
[MEMUSAGE] Rank 114:	 878.027 MiB
[MEMUSAGE] Rank 115:	 879.910 MiB
[MEMUSAGE] Rank 116:	 879.902 MiB
[MEMUSAGE] Rank 117:	 878.016 MiB
[MEMUSAGE] Rank 118:	 880.227 MiB
[MEMUSAGE] Rank 119:	 878.051 MiB
[MEMUSAGE] Rank 120:	 877.855 MiB
[MEMUSAGE] Rank 121:	 878.020 MiB
[MEMUSAGE] Rank 122:	 880.227 MiB
[MEMUSAGE] Rank 123:	 877.969 MiB
[MEMUSAGE] Rank 124:	 878.152 MiB
[MEMUSAGE] Rank 125:	 878.141 MiB
[MEMUSAGE] Rank 126:	 878.230 MiB
[MEMUSAGE] Rank 127:	 878.094 MiB
[MEMUSAGE] Rank 128:	 880.078 MiB
[MEMUSAGE] Rank 129:	 877.918 MiB
[MEMUSAGE] Rank 130:	 878.180 MiB
[MEMUSAGE] Rank 131:	 878.004 MiB
[MEMUSAGE] Rank 132:	 877.934 MiB
[MEMUSAGE] Rank 133:	 877.957 MiB
[MEMUSAGE] Rank 134:	 878.129 MiB
[MEMUSAGE] Rank 135:	 878.055 MiB
[MEMUSAGE] Rank 136:	 877.922 MiB
[MEMUSAGE] Rank 137:	 878.133 MiB
[MEMUSAGE] Rank 138:	 877.922 MiB
[MEMUSAGE] Rank 139:	 879.957 MiB
[MEMUSAGE] Rank 140:	 878.102 MiB
[MEMUSAGE] Rank 141:	 878.051 MiB
[MEMUSAGE] Rank 142:	 877.859 MiB
[MEMUSAGE] Rank 143:	 877.727 MiB
[MEMUSAGE] Rank 144:	 878.055 MiB
[MEMUSAGE] Rank 145:	 877.734 MiB
[MEMUSAGE] Rank 146:	 877.953 MiB
[MEMUSAGE] Rank 147:	 879.895 MiB
[MEMUSAGE] Rank 148:	 878.051 MiB
[MEMUSAGE] Rank 149:	 879.707 MiB
[MEMUSAGE] Rank 150:	 877.934 MiB
[MEMUSAGE] Rank 151:	 880.133 MiB
[MEMUSAGE] Rank 152:	 878.121 MiB
[MEMUSAGE] Rank 153:	 877.863 MiB
[MEMUSAGE] Rank 154:	 878.168 MiB
[MEMUSAGE] Rank 155:	 878.047 MiB
[MEMUSAGE] Rank 156:	 878.000 MiB
[MEMUSAGE] Rank 157:	 877.926 MiB
[MEMUSAGE] Rank 158:	 878.148 MiB
[MEMUSAGE] Rank 159:	 877.816 MiB
[MEMUSAGE] Rank 160:	 877.957 MiB
[MEMUSAGE] Rank 161:	 878.125 MiB
[MEMUSAGE] Rank 162:	 878.168 MiB
[MEMUSAGE] Rank 163:	 878.008 MiB
[MEMUSAGE] Rank 164:	 879.949 MiB
[MEMUSAGE] Rank 165:	 877.859 MiB
[MEMUSAGE] Rank 166:	 878.121 MiB
[MEMUSAGE] Rank 167:	 875.965 MiB
[MEMUSAGE] Rank 168:	 878.047 MiB
[MEMUSAGE] Rank 169:	 878.023 MiB
[MEMUSAGE] Rank 170:	 878.031 MiB
[MEMUSAGE] Rank 171:	 878.137 MiB
[MEMUSAGE] Rank 172:	 878.219 MiB
[MEMUSAGE] Rank 173:	 878.035 MiB
[MEMUSAGE] Rank 174:	 880.176 MiB
[MEMUSAGE] Rank 175:	 878.113 MiB
[MEMUSAGE] Rank 176:	 877.992 MiB
[MEMUSAGE] Rank 177:	 880.082 MiB
[MEMUSAGE] Rank 178:	 878.016 MiB
[MEMUSAGE] Rank 179:	 877.855 MiB
[MEMUSAGE] Rank 180:	 877.895 MiB
[MEMUSAGE] Rank 181:	 877.812 MiB
[MEMUSAGE] Rank 182:	 877.863 MiB
[MEMUSAGE] Rank 183:	 877.910 MiB
[MEMUSAGE] Rank 184:	 877.938 MiB
[MEMUSAGE] Rank 185:	 877.809 MiB
[MEMUSAGE] Rank 186:	 877.965 MiB
[MEMUSAGE] Rank 187:	 879.812 MiB
[MEMUSAGE] Rank 188:	 878.191 MiB
[MEMUSAGE] Rank 189:	 877.891 MiB
[MEMUSAGE] Rank 190:	 879.809 MiB
[MEMUSAGE] Rank 191:	 877.961 MiB
[MEMUSAGE] Rank 192:	 878.027 MiB
[MEMUSAGE] Rank 193:	 878.117 MiB
[MEMUSAGE] Rank 194:	 877.973 MiB
[MEMUSAGE] Rank 195:	 877.742 MiB
[MEMUSAGE] Rank 196:	 880.105 MiB
[MEMUSAGE] Rank 197:	 877.945 MiB
[MEMUSAGE] Rank 198:	 878.117 MiB
[MEMUSAGE] Rank 199:	 879.551 MiB
[MEMUSAGE] Rank 200:	 877.949 MiB
[MEMUSAGE] Rank 201:	 878.004 MiB
[MEMUSAGE] Rank 202:	 880.055 MiB
