nodelist=n23m[0253-0254,0256,0258,0260-0262,0264-0265,0267-0271,0273-0274]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 768
Grid size              = 192000
Radius of stencil      = 1
Tiles in x/y-direction = 24/32
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 1651872.107858  Avg time (s): 0.245476  Total time (s): 245.476360
[MEMUSAGE] Total Memory Consumption (max_rss): 674364.500 MiB
[MEMUSAGE] Rank 113:	 877.723 MiB
[MEMUSAGE] Rank 114:	 879.922 MiB
[MEMUSAGE] Rank 115:	 878.102 MiB
[MEMUSAGE] Rank 116:	 877.969 MiB
[MEMUSAGE] Rank 117:	 877.961 MiB
[MEMUSAGE] Rank 118:	 878.047 MiB
[MEMUSAGE] Rank 119:	 877.984 MiB
[MEMUSAGE] Rank 120:	 877.938 MiB
[MEMUSAGE] Rank 121:	 877.824 MiB
[MEMUSAGE] Rank 122:	 877.871 MiB
[MEMUSAGE] Rank 123:	 877.637 MiB
[MEMUSAGE] Rank 124:	 877.777 MiB
[MEMUSAGE] Rank 125:	 877.801 MiB
[MEMUSAGE] Rank 126:	 879.723 MiB
[MEMUSAGE] Rank 127:	 877.703 MiB
[MEMUSAGE] Rank 128:	 878.066 MiB
[MEMUSAGE] Rank 129:	 879.789 MiB
[MEMUSAGE] Rank 130:	 877.727 MiB
[MEMUSAGE] Rank 131:	 877.766 MiB
[MEMUSAGE] Rank 132:	 878.109 MiB
[MEMUSAGE] Rank 133:	 877.836 MiB
[MEMUSAGE] Rank 134:	 878.047 MiB
[MEMUSAGE] Rank 135:	 877.848 MiB
[MEMUSAGE] Rank 136:	 877.992 MiB
[MEMUSAGE] Rank 137:	 877.824 MiB
[MEMUSAGE] Rank 138:	 878.035 MiB
[MEMUSAGE] Rank 139:	 877.742 MiB
[MEMUSAGE] Rank 140:	 877.832 MiB
[MEMUSAGE] Rank 141:	 879.898 MiB
[MEMUSAGE] Rank 142:	 878.070 MiB
[MEMUSAGE] Rank 143:	 877.656 MiB
[MEMUSAGE] Rank 144:	 877.863 MiB
[MEMUSAGE] Rank 145:	 878.070 MiB
[MEMUSAGE] Rank 146:	 877.945 MiB
[MEMUSAGE] Rank 147:	 877.914 MiB
[MEMUSAGE] Rank 148:	 877.934 MiB
[MEMUSAGE] Rank 149:	 877.770 MiB
[MEMUSAGE] Rank 150:	 878.090 MiB
[MEMUSAGE] Rank 151:	 877.770 MiB
[MEMUSAGE] Rank 152:	 877.984 MiB
[MEMUSAGE] Rank 153:	 878.023 MiB
[MEMUSAGE] Rank 154:	 877.848 MiB
