bench_id;wp_id;compile;measurement;tasks;num_iters;time_avg;time_std;verification
36;9;base;base;48;4000;3.2482460000000004;0.009781752935842682;SUCCESS
36;24;tsan-opt;must;48;4000;23.653515399999996;0.32583711951800487;SUCCESS
36;14;base;base;96;4000;1.7902127999999997;0.007596237634564053;SUCCESS
36;29;tsan-opt;must;96;4000;29.451025800000004;1.0624388546992136;SUCCESS
36;19;base;base;192;4000;1.0080282;0.009934661831185717;SUCCESS
36;34;tsan-opt;must;192;4000;41.593300600000006;1.2620410497176386;SUCCESS
