nodelist=r23m[0154-0157]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 192
Grid size              = 96000
Radius of stencil      = 1
Tiles in x/y-direction = 12/16
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 414308.729250  Avg time (s): 0.244677  Total time (s): 244.676901
[MEMUSAGE] Total Memory Consumption (max_rss): 167294.539 MiB
[MEMUSAGE] Rank 114:	 871.152 MiB
[MEMUSAGE] Rank 115:	 871.211 MiB
[MEMUSAGE] Rank 116:	 871.082 MiB
[MEMUSAGE] Rank 117:	 871.117 MiB
[MEMUSAGE] Rank 118:	 871.145 MiB
[MEMUSAGE] Rank 119:	 873.055 MiB
[MEMUSAGE] Rank 120:	 871.156 MiB
[MEMUSAGE] Rank 121:	 871.012 MiB
[MEMUSAGE] Rank 122:	 871.203 MiB
[MEMUSAGE] Rank 123:	 871.211 MiB
[MEMUSAGE] Rank 124:	 871.281 MiB
[MEMUSAGE] Rank 125:	 871.082 MiB
[MEMUSAGE] Rank 126:	 871.070 MiB
[MEMUSAGE] Rank 127:	 871.332 MiB
[MEMUSAGE] Rank 128:	 871.051 MiB
[MEMUSAGE] Rank 129:	 871.016 MiB
[MEMUSAGE] Rank 130:	 871.172 MiB
[MEMUSAGE] Rank 131:	 871.250 MiB
[MEMUSAGE] Rank 132:	 871.148 MiB
[MEMUSAGE] Rank 133:	 871.031 MiB
[MEMUSAGE] Rank 134:	 869.098 MiB
[MEMUSAGE] Rank 135:	 870.992 MiB
[MEMUSAGE] Rank 136:	 873.043 MiB
[MEMUSAGE] Rank 137:	 871.246 MiB
[MEMUSAGE] Rank 138:	 870.953 MiB
[MEMUSAGE] Rank 139:	 871.176 MiB
[MEMUSAGE] Rank 140:	 871.098 MiB
[MEMUSAGE] Rank 141:	 869.023 MiB
[MEMUSAGE] Rank 142:	 871.078 MiB
[MEMUSAGE] Rank 143:	 870.844 MiB
[MEMUSAGE] Rank 144:	 872.992 MiB
[MEMUSAGE] Rank 145:	 871.184 MiB
[MEMUSAGE] Rank 146:	 870.934 MiB
[MEMUSAGE] Rank 147:	 871.324 MiB
[MEMUSAGE] Rank 148:	 871.141 MiB
[MEMUSAGE] Rank 149:	 871.074 MiB
[MEMUSAGE] Rank 150:	 871.238 MiB
[MEMUSAGE] Rank 151:	 871.129 MiB
[MEMUSAGE] Rank 152:	 871.199 MiB
[MEMUSAGE] Rank 153:	 871.309 MiB
[MEMUSAGE] Rank 154:	 871.141 MiB
[MEMUSAGE] Rank 155:	 871.094 MiB
[MEMUSAGE] Rank 156:	 871.121 MiB
[MEMUSAGE] Rank 157:	 871.293 MiB
[MEMUSAGE] Rank 158:	 871.230 MiB
[MEMUSAGE] Rank 159:	 871.066 MiB
[MEMUSAGE] Rank 160:	 871.062 MiB
[MEMUSAGE] Rank 161:	 871.367 MiB
[MEMUSAGE] Rank 162:	 871.117 MiB
[MEMUSAGE] Rank 163:	 873.102 MiB
[MEMUSAGE] Rank 164:	 871.188 MiB
[MEMUSAGE] Rank 165:	 871.129 MiB
[MEMUSAGE] Rank 166:	 871.172 MiB
[MEMUSAGE] Rank 167:	 871.098 MiB
[MEMUSAGE] Rank 168:	 871.371 MiB
[MEMUSAGE] Rank 169:	 871.184 MiB
[MEMUSAGE] Rank 170:	 871.219 MiB
[MEMUSAGE] Rank 171:	 871.266 MiB
[MEMUSAGE] Rank 172:	 871.191 MiB
[MEMUSAGE] Rank 173:	 871.184 MiB
[MEMUSAGE] Rank 174:	 871.445 MiB
[MEMUSAGE] Rank 175:	 869.020 MiB
[MEMUSAGE] Rank 176:	 871.238 MiB
[MEMUSAGE] Rank 177:	 870.988 MiB
[MEMUSAGE] Rank 178:	 871.195 MiB
[MEMUSAGE] Rank 179:	 870.945 MiB
[MEMUSAGE] Rank 180:	 873.055 MiB
[MEMUSAGE] Rank 181:	 872.797 MiB
[MEMUSAGE] Rank 182:	 872.906 MiB
[MEMUSAGE] Rank 183:	 872.734 MiB
[MEMUSAGE] Rank 184:	 872.957 MiB
[MEMUSAGE] Rank 185:	 870.930 MiB
[MEMUSAGE] Rank 186:	 870.855 MiB
[MEMUSAGE] Rank 187:	 871.020 MiB
[MEMUSAGE] Rank 188:	 870.887 MiB
[MEMUSAGE] Rank 189:	 870.691 MiB
[MEMUSAGE] Rank 190:	 871.074 MiB
[MEMUSAGE] Rank 191:	 870.676 MiB
EXECUTION VERIFICATION CHECK: SUCCESS
