nodelist=n23m[0026,0038-0040,0042-0045,0047,0049,0051-0055,0058]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 768
Grid size              = 192000
Radius of stencil      = 1
Tiles in x/y-direction = 24/32
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 1654147.142138  Avg time (s): 0.245139  Total time (s): 245.138744
[MEMUSAGE] Total Memory Consumption (max_rss): 674365.660 MiB
[MEMUSAGE] Rank 113:	 877.820 MiB
[MEMUSAGE] Rank 114:	 879.984 MiB
[MEMUSAGE] Rank 115:	 878.090 MiB
[MEMUSAGE] Rank 116:	 877.844 MiB
[MEMUSAGE] Rank 117:	 877.910 MiB
[MEMUSAGE] Rank 118:	 878.270 MiB
[MEMUSAGE] Rank 119:	 877.953 MiB
[MEMUSAGE] Rank 120:	 877.938 MiB
[MEMUSAGE] Rank 121:	 877.906 MiB
[MEMUSAGE] Rank 122:	 878.305 MiB
[MEMUSAGE] Rank 123:	 875.836 MiB
[MEMUSAGE] Rank 124:	 877.934 MiB
[MEMUSAGE] Rank 125:	 878.027 MiB
[MEMUSAGE] Rank 126:	 878.188 MiB
[MEMUSAGE] Rank 127:	 877.836 MiB
[MEMUSAGE] Rank 128:	 879.934 MiB
[MEMUSAGE] Rank 129:	 877.809 MiB
[MEMUSAGE] Rank 130:	 880.055 MiB
[MEMUSAGE] Rank 131:	 877.973 MiB
[MEMUSAGE] Rank 132:	 878.035 MiB
[MEMUSAGE] Rank 133:	 880.047 MiB
[MEMUSAGE] Rank 134:	 878.047 MiB
[MEMUSAGE] Rank 135:	 879.832 MiB
[MEMUSAGE] Rank 136:	 880.105 MiB
[MEMUSAGE] Rank 137:	 877.742 MiB
[MEMUSAGE] Rank 138:	 878.023 MiB
[MEMUSAGE] Rank 139:	 877.773 MiB
[MEMUSAGE] Rank 140:	 877.887 MiB
[MEMUSAGE] Rank 141:	 877.840 MiB
[MEMUSAGE] Rank 142:	 880.004 MiB
[MEMUSAGE] Rank 143:	 877.723 MiB
[MEMUSAGE] Rank 144:	 877.809 MiB
[MEMUSAGE] Rank 145:	 877.984 MiB
[MEMUSAGE] Rank 146:	 879.828 MiB
[MEMUSAGE] Rank 147:	 880.070 MiB
[MEMUSAGE] Rank 148:	 878.180 MiB
[MEMUSAGE] Rank 149:	 878.016 MiB
[MEMUSAGE] Rank 150:	 876.086 MiB
[MEMUSAGE] Rank 151:	 879.941 MiB
[MEMUSAGE] Rank 152:	 878.043 MiB
[MEMUSAGE] Rank 153:	 877.977 MiB
[MEMUSAGE] Rank 154:	 880.270 MiB
[MEMUSAGE] Rank 155:	 878.184 MiB
[MEMUSAGE] Rank 156:	 877.930 MiB
[MEMUSAGE] Rank 157:	 879.785 MiB
[MEMUSAGE] Rank 158:	 878.117 MiB
[MEMUSAGE] Rank 159:	 878.188 MiB
[MEMUSAGE] Rank 160:	 877.984 MiB
[MEMUSAGE] Rank 161:	 880.082 MiB
[MEMUSAGE] Rank 162:	 878.004 MiB
[MEMUSAGE] Rank 163:	 877.984 MiB
[MEMUSAGE] Rank 164:	 877.734 MiB
[MEMUSAGE] Rank 165:	 877.781 MiB
[MEMUSAGE] Rank 166:	 877.852 MiB
[MEMUSAGE] Rank 167:	 877.871 MiB
[MEMUSAGE] Rank 168:	 877.805 MiB
[MEMUSAGE] Rank 169:	 877.934 MiB
[MEMUSAGE] Rank 170:	 879.777 MiB
[MEMUSAGE] Rank 171:	 877.863 MiB
[MEMUSAGE] Rank 172:	 878.141 MiB
[MEMUSAGE] Rank 173:	 878.062 MiB
[MEMUSAGE] Rank 174:	 877.957 MiB
[MEMUSAGE] Rank 175:	 879.977 MiB
[MEMUSAGE] Rank 176:	 878.062 MiB
[MEMUSAGE] Rank 177:	 877.727 MiB
[MEMUSAGE] Rank 178:	 878.086 MiB
[MEMUSAGE] Rank 179:	 878.070 MiB
[MEMUSAGE] Rank 180:	 878.012 MiB
