nodelist=n23m[0207-0210]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 192
Grid size              = 96000
Radius of stencil      = 1
Tiles in x/y-direction = 12/16
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 400
Solution validates
Rate (MFlops/s): 413146.949666  Avg time (s): 0.245365  Total time (s): 98.145976
[MEMUSAGE] Total Memory Consumption (max_rss): 167302.324 MiB
[MEMUSAGE] Rank 0:	 872.984 MiB
[MEMUSAGE] Rank 1:	 871.012 MiB
[MEMUSAGE] Rank 2:	 870.945 MiB
[MEMUSAGE] Rank 3:	 870.961 MiB
[MEMUSAGE] Rank 4:	 871.176 MiB
[MEMUSAGE] Rank 5:	 871.023 MiB
[MEMUSAGE] Rank 6:	 871.117 MiB
[MEMUSAGE] Rank 7:	 872.820 MiB
[MEMUSAGE] Rank 8:	 871.211 MiB
[MEMUSAGE] Rank 9:	 869.141 MiB
[MEMUSAGE] Rank 10:	 871.219 MiB
[MEMUSAGE] Rank 11:	 871.020 MiB
[MEMUSAGE] Rank 12:	 869.191 MiB
[MEMUSAGE] Rank 13:	 873.152 MiB
[MEMUSAGE] Rank 14:	 871.148 MiB
[MEMUSAGE] Rank 15:	 873.094 MiB
[MEMUSAGE] Rank 16:	 871.262 MiB
[MEMUSAGE] Rank 17:	 871.254 MiB
[MEMUSAGE] Rank 18:	 871.398 MiB
[MEMUSAGE] Rank 19:	 871.184 MiB
[MEMUSAGE] Rank 20:	 871.230 MiB
[MEMUSAGE] Rank 21:	 871.047 MiB
[MEMUSAGE] Rank 22:	 871.180 MiB
[MEMUSAGE] Rank 23:	 871.102 MiB
[MEMUSAGE] Rank 24:	 871.055 MiB
[MEMUSAGE] Rank 25:	 871.246 MiB
[MEMUSAGE] Rank 26:	 871.461 MiB
[MEMUSAGE] Rank 27:	 871.285 MiB
[MEMUSAGE] Rank 28:	 873.293 MiB
[MEMUSAGE] Rank 29:	 871.168 MiB
[MEMUSAGE] Rank 30:	 871.387 MiB
[MEMUSAGE] Rank 31:	 870.992 MiB
[MEMUSAGE] Rank 32:	 871.301 MiB
[MEMUSAGE] Rank 33:	 871.242 MiB
[MEMUSAGE] Rank 34:	 871.289 MiB
[MEMUSAGE] Rank 35:	 871.211 MiB
[MEMUSAGE] Rank 36:	 871.141 MiB
[MEMUSAGE] Rank 37:	 873.176 MiB
[MEMUSAGE] Rank 38:	 871.266 MiB
[MEMUSAGE] Rank 39:	 868.895 MiB
[MEMUSAGE] Rank 40:	 871.266 MiB
[MEMUSAGE] Rank 41:	 871.070 MiB
[MEMUSAGE] Rank 42:	 870.996 MiB
[MEMUSAGE] Rank 43:	 871.168 MiB
[MEMUSAGE] Rank 44:	 870.949 MiB
[MEMUSAGE] Rank 45:	 871.195 MiB
[MEMUSAGE] Rank 46:	 871.340 MiB
[MEMUSAGE] Rank 47:	 870.941 MiB
[MEMUSAGE] Rank 48:	 871.191 MiB
[MEMUSAGE] Rank 49:	 870.980 MiB
[MEMUSAGE] Rank 50:	 871.156 MiB
