bench_id;wp_id;compile;measurement;tasks;num_iters;grid_size;time_avg;time_std;rate (MFlops/s);verification
65;6;base;base;48;1000;48000;260.0565624;0.08699157659119573;168304.5712458;SUCCESS
65;32;tsan-opt;must;48;1000;48000;275.81282840000006;5.134658525873626;158733.88514880004;FAILURE
65;10;base;base;96;1000;67883;260.5585335;0.03575147085238786;335984.44933925;SUCCESS
65;35;tsan-opt;must;96;1000;67883;273.057099;0.43585282498154565;320606.1782406;SUCCESS
65;15;base;base;192;1000;96000;260.4604408;0.03541573467351207;672230.3407702;SUCCESS
65;40;tsan-opt;must;192;1000;96000;274.91505;1.3479233983613195;636895.6788946666;SUCCESS
65;20;base;base;384;1000;135765;263.1204376;4.893561123191611;1331270.6014136001;SUCCESS
65;45;tsan-opt;must;384;1000;135765;292.58768725000004;21.572796476703502;1201476.0272610001;FAILURE
65;28;base;base;768;1000;192000;272.77474766666666;0.0924671242269419;2567638.229312667;SUCCESS
65;50;tsan-opt;must;768;1000;192000;295.64561133333336;15.04440364460219;2373091.7611893336;FAILURE
